Bragantino|1|0|Cruzeiro|2.10|3.00|3.25
Fluminense|1|1|Vitória|1.70|3.38|6.20
Fortaleza|1|2|Palmeiras|3.95|3.10|2.05
São Paulo|2|1|Santos|2.01|3.23|3.79
Atlético Mineiro|1|0|Botafogo|2.18|3.20|3.35
Juventude|2|2|Mirassol|2.05|3.19|3.74
Grêmio|1|1|Internacional|3.25|2.95|2.45
Vasco da Gama|0|0|Flamengo|7.00|4.00|1.50
Corinthians|2|1|Sport Recife|1.66|3.78|6.24
Cruzeiro|3|0|Bahia|2.41|3.10|3.30
Flamengo|6|0|Juventude|1.20|6.50|13.93
Santos|2|0|Atlético Mineiro|2.45|3.18|3.00
Vitória|2|1|Fortaleza|2.50|3.05|3.10
Corinthians|0|2|Fluminense|2.00|2.95|4.20
Internacional|0|1|Palmeiras|2.65|3.00|2.80
Mirassol|4|1|Grêmio|2.43|3.00|3.00
Sport Recife|0|1|Bragantino|2.13|3.30|3.72
Botafogo|2|2|São Paulo|1.77|3.10|4.75
Ceará|2|1|Vasco da Gama|2.10|2.90|3.40
Atlético Mineiro|2|2|Vitória|1.55|3.97|6.25
Fortaleza|0|0|Internacional|2.80|2.95|2.52
Fluminense|1|0|Santos|1.91|3.19|4.75
São Paulo|1|1|Cruzeiro|2.01|3.15|3.91
Grêmio|0|2|Flamengo|3.08|3.20|2.31
Bahia|1|1|Mirassol|1.50|4.20|6.20
Vasco da Gama|3|1|Sport Recife|1.93|3.00|4.00
Palmeiras|2|0|Corinthians|1.73|3.40|5.00
Bragantino|1|0|Botafogo|2.83|3.04|2.68
Juventude|2|1|Ceará|2.38|3.10|3.20
Santos|2|2|Bahia|2.02|2.95|4.30
Mirassol|1|1|Fortaleza|3.15|3.20|2.27
Internacional|3|0|Cruzeiro|1.77|3.45|4.70
Vitória|1|2|Flamengo|4.90|3.71|1.68
Sport Recife|1|2|Palmeiras|5.10|3.45|1.71
Fluminense|2|1|Bragantino|1.78|3.41|4.60
Atlético Mineiro|0|0|São Paulo|2.21|3.23|3.23
Botafogo|2|0|Juventude|1.49|3.96|6.80
Corinthians|3|0|Vasco da Gama|1.62|3.88|5.10
Ceará|2|0|Grêmio|2.65|3.18|2.65
Bragantino|2|2|Ceará|2.11|3.15|3.60
Bahia|1|1|Corinthians|1.95|3.36|3.85
Vasco da Gama|2|1|Santos|2.45|3.18|2.88
Palmeiras|0|0|Botafogo|1.69|3.45|5.30
Flamengo|1|1|Internacional|1.70|3.64|4.80
São Paulo|0|0|Sport Recife|1.52|3.88|6.40
Cruzeiro|2|1|Mirassol|1.55|3.56|7.00
Grêmio|2|1|Atlético Mineiro|2.14|3.32|3.33
Fortaleza|2|0|Fluminense|2.26|3.09|3.29
Juventude|2|0|Vitória|2.04|3.29|3.64
